       10.00       30.00       40.00       65.00
       10.00       30.00       40.00       65.00
       10.00       30.00       40.00       65.00
       10.00       30.00       40.00       65.00
        0.00        0.00        0.00        0.00
       40.00       59.00       40.00       67.00       35.00       35.00       35.00
       40.00       59.00       40.00       67.00       21.00       21.00       21.00
       40.00       59.00       40.00       67.00       69.60       78.00       85.20
       40.00       59.00       40.00       67.00       30.00       49.00       43.34
        0.00        0.00        0.00        0.00        0.00       85.00       59.69
       35.00       35.00
       21.00       21.00
       69.60       85.20
       30.00       43.34
        0.00       59.69
       30.00       30.00
       30.00       30.00
       30.00       30.00
       30.00       30.00
        0.00        0.00
